# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 28 09:47:48 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,ra,dec,sy_dist,sy_gaiamag
266,GJ 3323 b,GJ 3323,1,2,0,Radial Velocity,2017,La Silla Observatory,5.36360000000,0.0328200000,1.23000000,0.10900000,2.02000000,0.00635560,Msini,0.230000,2.5800,,M4,3159.00,0.119000,0.164000,-0.2700,[Fe/H],,75.4868824,-6.9485133,5.37484000,10.6467000
267,GJ 3323 c,GJ 3323,1,2,0,Radial Velocity,2017,La Silla Observatory,40.54000000000,0.1264000000,1.32000000,0.11800000,2.31000000,0.00726804,Msini,0.170000,0.1700,,M4,3159.00,0.119000,0.164000,-0.2700,[Fe/H],,75.4868824,-6.9485133,5.37484000,10.6467000
268,GJ 3341 b,GJ 3341,1,1,0,Radial Velocity,2015,La Silla Observatory,14.20700000000,0.0890000000,2.46000000,0.21900000,6.60000000,0.02080000,Msini,0.310000,,,M2.5,3526.00,0.439000,0.470000,-0.0900,[Fe/H],4.768520,78.9471415,-31.2948458,23.61900000,11.1029000
269,GJ 338 B b,GJ 338 B,2,1,0,Radial Velocity,2020,Calar Alto Observatory,24.42200000000,0.1420000000,3.25000000,0.29000000,10.60000000,0.03335133,Msini,0.109000,,391.00,M0 V,4014.00,0.580000,0.640000,-0.0300,[Fe/H],4.680000,138.5916722,52.6835211,6.33256000,7.0477500
270,GJ 341 b,GJ 341,1,1,0,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),7.57686000000,,0.88000000,0.07850848,4.00000000,0.01258541,Mass,0.000000,13.8000,629.00,M1,3770.00,0.506600,0.480000,-0.1600,[Fe/H],4.720000,140.3993759,-60.2811692,10.45400000,8.6753800
271,GJ 3470 b,GJ 3470,1,1,0,Radial Velocity,2012,La Silla Observatory,3.33664960000,0.0355000000,4.57000000,0.40770809,13.90000000,0.04373407,Mass,0.017000,29.6584,593.50,M1.5,3600.00,0.547000,0.539000,0.2000,[Fe/H],4.695000,119.7735021,15.3912090,29.42140000,11.3537000
272,GJ 3473 b,GJ 3473,2,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.19800350000,0.0158900000,1.26400000,0.11276653,1.86000000,0.00585219,Mass,0.000000,59.4000,773.00,M4,3347.00,0.364000,0.360000,0.1100,[Fe/H],4.810000,120.5936065,3.3371629,27.36440000,12.4650000
273,GJ 3473 c,GJ 3473,2,2,0,Radial Velocity,2020,Multiple Observatories,15.50900000000,0.0876000000,2.63000000,0.23500000,7.41000000,0.02331435,Msini,0.000000,1.9500,329.10,M4,3347.00,0.364000,0.360000,0.1100,[Fe/H],4.810000,120.5936065,3.3371629,27.36440000,12.4650000
274,GJ 3512 b,GJ 3512,1,2,0,Radial Velocity,2019,Calar Alto Observatory,203.10900000000,0.3376000000,14.30000000,1.27000000,146.51889563,0.46100000,Msini,0.427900,,,M5.5 V,3141.00,0.139000,0.123000,-0.0700,[Fe/H],5.158200,130.3316616,59.4918364,9.48637000,13.1117000
275,GJ 3512 c,GJ 3512,1,2,0,Radial Velocity,2020,Multiple Observatories,2354.00000000000,1.7310000000,14.30000000,1.27000000,143.97626837,0.45300000,Msini,0.089000,,,M5.5 V,3141.00,0.139000,0.123000,-0.0700,[Fe/H],5.158200,130.3316616,59.4918364,9.48637000,13.1117000
276,GJ 357 b,GJ 357,1,3,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.93060000000,0.0360000000,1.20000000,0.10705701,1.83000000,0.00575782,Mass,,12.6000,518.00,M2.5 V,3505.00,0.337000,0.342000,-0.1200,[Fe/H],4.940000,144.0074644,-21.6650634,9.44181000,9.8803600
277,GJ 357 c,GJ 357,1,3,0,Radial Velocity,2019,Multiple Observatories,9.12470000000,0.0610000000,1.66000000,0.14800000,3.40000000,0.01069754,Msini,,4.4500,401.20,M2.5 V,3505.00,0.337000,0.342000,-0.1200,[Fe/H],4.940000,144.0074644,-21.6650634,9.44181000,9.8803600
278,GJ 357 d,GJ 357,1,3,0,Radial Velocity,2019,Multiple Observatories,55.66100000000,0.2040000000,2.34000000,0.20900000,6.10000000,0.01919265,Msini,,0.3800,219.60,M2.5 V,3505.00,0.337000,0.342000,-0.1200,[Fe/H],4.940000,144.0074644,-21.6650634,9.44181000,9.8803600
279,GJ 3634 b,GJ 3634,1,1,0,Radial Velocity,2010,La Silla Observatory,2.64561000000,0.0287000000,2.83000000,0.25300000,8.40000000,0.02600000,Mass,0.080000,,,M2.5,3517.00,0.430000,0.450000,,,4.776360,164.6433493,-31.1443383,20.37790000,10.9233000
280,GJ 367 b,GJ 367,1,3,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.32192250000,0.0070900000,0.69900000,0.06236071,0.63300000,0.00199164,Mass,0.060000,579.0000,1365.00,M1.0 V,3522.00,0.458000,0.455000,-0.0100,[Fe/H],4.776000,146.1214640,-45.7790165,9.41263000,9.1515900
281,GJ 367 c,GJ 367,1,3,0,Radial Velocity,2023,La Silla Observatory,11.53010000000,,1.86000000,0.16600000,4.13000000,0.01299443,Msini,0.090000,,,M1.0 V,3522.00,0.458000,0.455000,-0.0100,[Fe/H],4.776000,146.1214640,-45.7790165,9.41263000,9.1515900
282,GJ 367 d,GJ 367,1,3,0,Radial Velocity,2023,La Silla Observatory,34.36900000000,,2.33000000,0.20800000,6.03000000,0.01897250,Msini,0.140000,,,M1.0 V,3522.00,0.458000,0.455000,-0.0100,[Fe/H],4.776000,146.1214640,-45.7790165,9.41263000,9.1515900
283,GJ 3779 b,GJ 3779,1,1,0,Radial Velocity,2018,Calar Alto Observatory,3.02320000000,0.0260000000,2.75000000,0.24500000,8.00000000,0.02517069,Msini,0.070000,,,M4.0 V,3324.00,0.281000,0.270000,0.0000,[Fe/H],5.050000,200.7335358,24.4639425,13.74300000,11.6266000
284,GJ 3929 b,GJ 3929,1,2,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.61623500000,0.0252000000,1.09000000,0.09724345,1.75000000,0.00550612,Mass,0.000000,17.3000,568.00,M3.5 V,3384.00,0.320000,0.313000,-0.0200,[Fe/H],4.890000,239.5775678,35.4081141,15.80950000,11.5109000
285,GJ 3929 c,GJ 3929,1,2,0,Radial Velocity,2022,Multiple Observatories,15.04000000000,0.0810000000,2.26000000,0.20100000,5.71000000,0.01796567,Msini,0.000000,1.6800,317.00,M3.5 V,3384.00,0.320000,0.313000,-0.0200,[Fe/H],4.890000,239.5775678,35.4081141,15.80950000,11.5109000
286,GJ 393 b,GJ 393,1,1,0,Radial Velocity,2021,Multiple Observatories,7.02679000000,0.0540200000,1.17000000,0.10400000,1.71000000,0.00538026,Msini,,9.2100,485.00,M2.0 V,3579.00,0.426000,0.426000,-0.0900,[Fe/H],4.880000,157.2288672,0.8378485,7.03149000,8.6737300
287,GJ 3942 b,GJ 3942,1,1,0,Radial Velocity,2017,Roque de los Muchachos Observatory,6.90500000000,0.0608000000,2.57000000,0.22900000,7.14000000,0.02246484,Msini,0.121000,,590.00,M0,3867.00,0.610000,0.630000,-0.0400,[Fe/H],4.650000,242.2645452,52.9441443,16.92870000,9.4076500
288,GJ 3988 b,GJ 3988,1,1,0,Radial Velocity,2023,Calar Alto Observatory,6.94420000000,0.0405000000,1.74000000,0.15600000,3.69000000,0.01161004,Msini,0.000000,2.4500,348.00,M4.5 V,3273.00,0.197340,0.184200,-0.1200,[Fe/H],4.920000,255.8503747,51.4089795,9.91050000,11.9925000
289,GJ 3998 b,GJ 3998,1,3,0,Radial Velocity,2016,Roque de los Muchachos Observatory,2.65033000000,0.0300000000,1.39000000,0.12400000,2.50000000,0.00786588,Msini,0.000000,48.0000,,M1,3726.00,0.500000,0.520000,-0.1300,[Fe/H],4.750000,259.0020507,11.0561751,18.14590000,9.9833700
290,GJ 3998 c,GJ 3998,1,3,0,Radial Velocity,2016,Roque de los Muchachos Observatory,13.72700000000,0.0900000000,2.50000000,0.22300000,6.82000000,0.02145812,Msini,0.000000,5.4000,,M1,3726.00,0.500000,0.520000,-0.1300,[Fe/H],4.750000,259.0020507,11.0561751,18.14590000,9.9833700
291,GJ 3998 d,GJ 3998,1,3,0,Radial Velocity,2025,Multiple Observatories,41.78000000000,0.1890000000,2.34000000,0.20900000,6.07000000,0.01909836,Msini,0.000000,1.2000,,M1,3726.00,0.500000,0.520000,-0.1300,[Fe/H],4.750000,259.0020507,11.0561751,18.14590000,9.9833700
292,GJ 411 b,GJ 411,1,2,0,Radial Velocity,2019,Haute-Provence Observatory,12.93940000000,0.0787900000,1.45000000,0.12900000,2.69000000,0.00846369,Msini,0.063000,3.1300,349.83,M1.5 V,3719.00,0.368500,0.389900,-0.3621,[Fe/H],4.895000,165.8344710,35.9723170,5.67577300,
293,GJ 414 A b,GJ 414 A,2,2,0,Radial Velocity,2021,W. M. Keck Observatory,50.80000000000,0.2324000000,2.63000000,0.23463288,7.60000000,0.02391215,Msini,0.450000,,308.60,K7 V,4120.00,0.680000,0.650000,0.2400,[Fe/H],4.650000,167.7745044,30.4451688,11.88930000,7.7280800
294,GJ 414 A c,GJ 414 A,2,2,0,Radial Velocity,2021,W. M. Keck Observatory,749.83000000000,1.4000000000,8.40000000,0.74939781,53.83000000,0.16936727,Msini,0.105000,,124.70,K7 V,4120.00,0.680000,0.650000,0.2400,[Fe/H],4.650000,167.7745044,30.4451688,11.88930000,7.7280800
295,GJ 422 b,GJ 422,1,1,0,Radial Velocity,2014,Multiple Observatories,20.12900000000,0.1110000000,3.33000000,0.29700000,11.07000000,0.03482994,Msini,0.110000,,,M3.5 V,3323.00,0.370328,0.350000,,,4.854350,168.9810458,-57.5425629,12.66310000,10.4771000
296,GJ 4274 b,GJ 4274,1,2,0,Radial Velocity,2026,Mauna Kea Observatory,1.63390000000,0.0153000000,1.53000000,0.13700000,2.97000000,0.00934467,Msini,,14.7000,,M4.5 V,3228.00,0.190000,0.180000,-0.1900,[Fe/H],5.260000,335.7805478,-17.6104078,7.23556000,11.5542000
297,GJ 4274 c,GJ 4274,1,2,0,Radial Velocity,2026,Mauna Kea Observatory,69.57000000000,0.1860000000,2.83000000,0.25200000,8.39000000,0.02639789,Msini,,0.1000,,M4.5 V,3228.00,0.190000,0.180000,-0.1900,[Fe/H],5.260000,335.7805478,-17.6104078,7.23556000,11.5542000
298,GJ 4276 b,GJ 4276,1,1,0,Radial Velocity,2019,Calar Alto Observatory,13.35200000000,0.0820000000,4.22000000,0.37700000,16.57000000,0.05213479,Msini,0.370000,,,M4.0,3387.00,0.407000,0.406000,0.1200,[Fe/H],4.970000,336.3221454,59.4125030,21.33620000,11.6605000
299,GJ 433 b,GJ 433,1,3,0,Radial Velocity,2013,La Silla Observatory,7.37050000000,0.0620000000,2.33000000,0.20800000,6.04300000,0.01901331,Msini,0.040000,,,M2V,3461.00,0.500000,0.480000,-0.1700,[Fe/H],4.810000,173.8619194,-32.5436302,9.06456000,8.8913800
300,GJ 433 c,GJ 433,1,3,0,Radial Velocity,2014,Multiple Observatories,5094.10500000000,4.8190000000,6.27000000,0.56000000,32.42200000,0.10201051,Msini,0.120000,,,M2V,3461.00,0.500000,0.480000,-0.1700,[Fe/H],4.810000,173.8619194,-32.5436302,9.06456000,8.8913800
301,GJ 433 d,GJ 433,1,3,0,Radial Velocity,2020,Multiple Facilities,36.05900000000,0.1780000000,2.14000000,0.19100000,5.22300000,0.01643331,Msini,0.070000,,,M2V,3461.00,0.500000,0.480000,-0.1700,[Fe/H],4.810000,173.8619194,-32.5436302,9.06456000,8.8913800
302,GJ 436 b,GJ 436,1,1,0,Radial Velocity,2004,W. M. Keck Observatory,2.64388312000,0.0291000000,4.17000000,0.37200000,22.10000000,0.07000000,Mass,0.138270,29.4322,686.00,M2.5 V,3586.11,0.455000,0.470000,0.0991,[Fe/H],4.792000,175.5505363,26.7030669,9.75321000,9.5714800
303,GJ 463 b,GJ 463,1,1,0,Radial Velocity,2022,Multiple Observatories,3459.00000000000,3.5300000000,13.10000000,1.17000000,1080.61658380,3.40000000,Mass,0.146000,,,M3.0 V,3563.00,0.483000,0.486000,-0.1600,[Fe/H],4.860000,185.7440496,64.0324311,18.35540000,10.5462000
304,GJ 480 b,GJ 480,1,1,0,Radial Velocity,2020,Multiple Observatories,9.55360000000,0.0680000000,2.91000000,0.26000000,8.80000000,0.02768790,Msini,0.000000,,406.00,M3.5 Ve,3509.00,0.449000,0.450000,0.2600,[m/H],4.880000,189.7134226,11.6950708,14.23580000,10.3249000
305,GJ 486 b,GJ 486,1,1,0,Radial Velocity,2021,Calar Alto Observatory,1.46712127000,0.0171400000,1.28900000,0.11499708,2.77000000,0.00871539,Mass,0.000860,39.2000,696.30,M3.5 V,3317.00,0.324300,0.312000,-0.1500,[Fe/H],4.911100,191.9815310,9.7494181,8.07426000,10.0940000
306,GJ 504 b,GJ 504,1,1,0,Imaging,2013,Subaru Telescope,,43.5000000000,12.10569916,1.08000000,1271.30000000,4.00000000,Mass,,,510.00,G0 V,6234.00,1.260000,1.220000,0.2800,[Fe/H],4.600000,199.1923480,9.4249781,17.52990000,5.0415600
307,GJ 508.2 b,GJ 508.2,1,1,0,Radial Velocity,2025,Calar Alto Observatory,5300.00000000000,4.8500000000,,,587.98255295,1.85000000,Msini,0.270000,,,M1.0 V,3720.00,0.530000,0.540000,-0.1500,[Fe/H],4.712180,200.2443854,34.2776644,16.63740000,9.7653900
308,GJ 514 b,GJ 514,1,1,0,Radial Velocity,2022,Multiple Observatories,140.43000000000,0.4220000000,2.13000000,0.19000000,5.20000000,0.01636103,Msini,0.450000,0.2800,202.00,M0.5-1.0 V,3728.00,0.500000,0.510000,-0.1400,[Fe/H],4.760000,202.5040424,10.3725387,7.61778000,8.2062100
309,GJ 536 b,GJ 536,1,2,0,Radial Velocity,2016,La Silla Observatory,8.70874000000,0.0668000000,2.41000000,0.21500000,6.37000000,0.02004226,Msini,0.000000,9.9000,451.00,M1 V,3641.00,0.529000,0.528000,-0.0800,[Fe/H],4.713000,210.2597264,-2.6522901,10.40920000,8.8588100
310,GJ 536 c,GJ 536,1,2,0,Radial Velocity,2025,Multiple Facilities,32.76100000000,0.1617000000,2.30000000,0.20500000,5.89000000,0.01853201,Msini,0.000000,1.6920,290.50,M1 V,3641.00,0.529000,0.528000,-0.0800,[Fe/H],4.713000,210.2597264,-2.6522901,10.40920000,8.8588100
311,GJ 581 b,GJ 581,1,3,0,Radial Velocity,2005,La Silla Observatory,5.36860000000,0.0399000000,4.79000000,0.42700000,20.50000000,0.06450021,Mass,0.034200,,,M3.0 V,3500.00,0.302000,0.295000,-0.0800,[Fe/H],4.970000,229.8564725,-7.7226935,6.29810000,9.4110000
312,GJ 581 c,GJ 581,1,3,0,Radial Velocity,2007,La Silla Observatory,12.92110000000,0.0718000000,2.50000000,0.22300000,6.81000000,0.02142666,Mass,0.032000,,,M3.0 V,3500.00,0.302000,0.295000,-0.0800,[Fe/H],4.970000,229.8564725,-7.7226935,6.29810000,9.4110000
313,GJ 581 e,GJ 581,1,3,0,Radial Velocity,2009,La Silla Observatory,3.14810000000,0.0279900000,1.38000000,0.12300000,2.48000000,0.00780295,Mass,0.012000,,,M3.0 V,3500.00,0.302000,0.295000,-0.0800,[Fe/H],4.970000,229.8564725,-7.7226935,6.29810000,9.4110000
314,GJ 625 b,GJ 625,1,1,0,Radial Velocity,2017,Multiple Observatories,14.62800000000,0.0783610000,1.49000000,0.13300000,2.82000000,0.00887267,Msini,0.130000,,,M2,3499.00,0.310000,0.300000,-0.3800,[Fe/H],4.940000,246.3557854,54.3033625,6.47249000,9.1370200
315,GJ 649 b,GJ 649,1,1,0,Radial Velocity,2009,W. M. Keck Observatory,600.10000000000,1.1120000000,10.80000000,0.96600000,81.99972901,0.25800000,Msini,0.083000,,,M1.0,3734.00,0.500000,0.510000,-0.1500,[Fe/H],4.760000,254.5363221,25.7419719,10.37960000,8.8187500
316,GJ 667 C b,GJ 667 C,3,5,0,Radial Velocity,2012,La Silla Observatory,7.20300000000,0.0504310000,2.25000000,0.20100000,5.68000000,0.01789000,Msini,0.200000,,,M1.5 V,3350.00,,0.330000,-0.5500,[Fe/H],4.690000,259.7510609,-34.9977651,7.24396000,9.3803300
317,GJ 667 C c,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,28.14000000000,0.1250000000,1.77000000,0.15800000,3.80000000,0.01200000,Msini,0.020000,,,M1.5 V,3350.00,,0.330000,-0.5500,[Fe/H],4.690000,259.7510609,-34.9977651,7.24396000,9.3803300
318,GJ 667 C e,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,62.24000000000,0.2130000000,1.45000000,0.12900000,2.70000000,0.00800000,Msini,0.020000,,,M1.5 V,3350.00,,0.330000,-0.5500,[Fe/H],4.690000,259.7510609,-34.9977651,7.24396000,9.3803300
319,GJ 667 C f,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,39.02600000000,0.1560000000,1.45000000,0.12900000,2.70000000,0.00800000,Msini,0.030000,,,M1.5 V,3350.00,,0.330000,-0.5500,[Fe/H],4.690000,259.7510609,-34.9977651,7.24396000,9.3803300
320,GJ 667 C g,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,256.20000000000,0.5490000000,1.99000000,0.17700000,4.60000000,0.01400000,Msini,0.080000,,,M1.5 V,3350.00,,0.330000,-0.5500,[Fe/H],4.690000,259.7510609,-34.9977651,7.24396000,9.3803300
321,GJ 674 b,GJ 674,1,1,0,Radial Velocity,2007,La Silla Observatory,4.69380000000,0.0390000000,3.33000000,0.29700000,11.09000000,0.03500000,Msini,0.200000,,,M2.5,3600.00,0.364630,0.350000,-0.2800,[Fe/H],4.859780,262.1700476,-46.8989826,4.54896000,8.3306300
322,GJ 676 A b,GJ 676 A,2,4,0,Radial Velocity,2010,La Silla Observatory,1051.44521000000,1.7350000000,12.80000000,1.14000000,1840.86213334,5.79200000,Mass,0.319000,,,M0,3734.00,0.690000,0.626000,0.2300,[Fe/H],4.620000,262.5448903,-51.6377777,16.02720000,8.8651700
323,GJ 676 A c,GJ 676 A,2,4,0,Radial Velocity,2016,Paranal Observatory,13921.42302000000,9.7260000000,12.30000000,1.10000000,4288.14086724,13.49200000,Mass,0.295000,,,M0,3734.00,0.690000,0.626000,0.2300,[Fe/H],4.620000,262.5448903,-51.6377777,16.02720000,8.8651700
324,GJ 676 A d,GJ 676 A,2,4,0,Radial Velocity,2012,La Silla Observatory,3.60076000000,0.0390000000,1.78000000,0.15900000,3.81394088,0.01200000,Msini,0.192000,,,M0,3734.00,0.690000,0.626000,0.2300,[Fe/H],4.620000,262.5448903,-51.6377777,16.02720000,8.8651700
325,GJ 676 A e,GJ 676 A,2,4,0,Radial Velocity,2012,La Silla Observatory,35.47358000000,0.1810000000,2.47000000,0.22100000,6.67439655,0.02100000,Msini,0.152000,,,M0,3734.00,0.690000,0.626000,0.2300,[Fe/H],4.620000,262.5448903,-51.6377777,16.02720000,8.8651700
326,GJ 680 b,GJ 680,2,1,0,Radial Velocity,2022,Multiple Observatories,17281.66514000000,10.1380000000,12.00000000,1.07000000,7977.49301570,25.10000000,Mass,0.381000,,,K5,3563.00,0.459330,0.456000,,,4.773230,263.8072214,-48.6788427,9.67315000,9.2832200
327,GJ 682 b,GJ 682,1,2,0,Radial Velocity,2014,Multiple Observatories,17.47800000000,0.0800000000,1.93000000,0.17300000,4.40000000,0.01384388,Msini,0.080000,,,M3.5 V,3028.00,0.298255,0.270000,,,4.927640,264.2610245,-44.3232519,5.00671000,9.5702500
328,GJ 682 c,GJ 682,1,2,0,Radial Velocity,2014,Multiple Observatories,57.32000000000,0.1760000000,2.89000000,0.25800000,8.70000000,0.02737312,Msini,0.100000,,,M3.5 V,3028.00,0.298255,0.270000,,,4.927640,264.2610245,-44.3232519,5.00671000,9.5702500
329,GJ 685 b,GJ 685,1,1,0,Radial Velocity,2019,Roque de los Muchachos Observatory,24.16000000000,0.1344000000,2.95000000,0.26300000,9.00000000,0.02831702,Msini,0.000000,,,M0.5,3816.00,0.540000,0.550000,-0.1500,[Fe/H],4.720000,263.8960378,61.6793482,14.31550000,9.1671000
330,GJ 687 b,GJ 687,1,2,0,Radial Velocity,2014,Lick Observatory,38.14200000000,0.1630000000,4.32000000,0.38500000,17.20000000,0.05411698,Msini,0.170000,,,M3.0V,3413.00,0.418300,0.400000,0.0631,[Fe/H],4.859360,264.1041731,68.3336741,4.54939000,8.0275400
331,GJ 687 c,GJ 687,1,2,0,Radial Velocity,2020,Multiple Observatories,727.56200000000,1.1650000000,4.14000000,0.36900000,16.00000000,0.05034138,Msini,0.400000,,,M3.0V,3413.00,0.418300,0.400000,0.0631,[Fe/H],4.859360,264.1041731,68.3336741,4.54939000,8.0275400
332,GJ 720 A b,GJ 720 A,2,1,0,Radial Velocity,2021,Roque de los Muchachos Observatory,19.46600000000,0.1190000000,3.77000000,0.33600000,13.64000000,0.04291624,Msini,0.120000,,401.00,M0.5 V,3837.00,0.560000,0.570000,-0.1400,[Fe/H],4.710000,278.8294172,45.7456038,15.55750000,9.1049600
333,GJ 724 b,GJ 724,1,1,0,Radial Velocity,2023,Calar Alto Observatory,5.10128400000,0.0468500000,3.27000000,0.29200000,10.75000000,0.03382328,Msini,0.577000,23.3200,611.00,M1.0 V,3799.00,0.522260,0.527100,-0.0200,[Fe/H],4.880000,280.2383650,-13.3824997,16.96580000,9.7691500
334,GJ 740 b,GJ 740,1,1,0,Radial Velocity,2021,Multiple Observatories,2.37756000000,0.0290000000,1.53000000,0.13700000,2.96000000,0.00931315,Msini,0.240000,79.0000,829.00,M1.0 V,3913.00,0.560000,0.580000,0.0800,[Fe/H],4.680000,284.4997178,5.9028670,11.10170000,8.4563600
335,GJ 806 b,GJ 806,1,2,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.92632370000,0.0140600000,1.33100000,0.11874407,1.90000000,0.00597807,Mass,,130.0000,940.00,M1.5 V,3600.00,0.414400,0.413000,-0.2800,[Fe/H],4.980000,311.2697002,44.5002351,12.04450000,9.8246100
336,GJ 806 c,GJ 806,1,2,0,Radial Velocity,2023,Multiple Observatories,6.64064000000,0.0523000000,2.28000000,0.20300000,5.80000000,0.01824884,Msini,,9.5000,490.00,M1.5 V,3600.00,0.414400,0.413000,-0.2800,[Fe/H],4.980000,311.2697002,44.5002351,12.04450000,9.8246100
337,GJ 832 b,GJ 832,1,1,0,Radial Velocity,2008,Anglo-Australian Telescope,3853.00000000000,3.7000000000,13.80000000,1.23000000,314.65012293,0.99000000,Mass,0.050000,,,M2/3 V,3472.00,0.441557,0.450000,-0.3000,[Fe/H],4.789050,323.3912616,-49.0125169,4.96435000,7.7376100
338,GJ 849 b,GJ 849,1,2,0,Radial Velocity,2006,W. M. Keck Observatory,1925.31000000000,2.3200000000,13.90000000,1.24000000,283.82076745,0.89300000,Msini,0.029000,,,M3.5,3467.00,0.450000,0.450000,0.0900,[Fe/H],4.800000,332.4229938,-4.6408317,8.80058000,9.2245000
339,GJ 849 c,GJ 849,1,2,0,Radial Velocity,2014,W. M. Keck Observatory,5990.00000000000,4.9500000000,13.80000000,1.23000000,314.65012293,0.99000000,Msini,0.092000,,,M3.5,3467.00,0.450000,0.450000,0.0900,[Fe/H],4.800000,332.4229938,-4.6408317,8.80058000,9.2245000
340,GJ 86 b,GJ 86,2,1,0,Radial Velocity,1999,La Silla Observatory,15.76491000000,0.1100000000,12.90000000,1.15000000,1404.80860000,4.42000000,Msini,0.040000,,,K1V,5182.00,0.770000,0.930000,-0.2200,[Fe/H],4.630000,32.6224785,-50.8209945,10.78360000,5.8851600
341,GJ 876 b,GJ 876,1,4,0,Radial Velocity,1998,Multiple Observatories,61.11660000000,0.2083170000,13.30000000,1.19000000,723.22350000,2.27560000,Mass,0.032400,,,M2.5V,3293.74,0.300000,0.320000,0.2129,[Fe/H],4.871770,343.3239737,-14.2665958,4.67517000,8.8753000
342,GJ 876 c,GJ 876,1,4,0,Radial Velocity,2000,Multiple Observatories,30.08810000000,0.1295900000,14.00000000,1.25000000,226.98460000,0.71420000,Mass,0.255910,,,M2.5V,3293.74,0.300000,0.320000,0.2129,[Fe/H],4.871770,343.3239737,-14.2665958,4.67517000,8.8753000
343,GJ 876 d,GJ 876,1,4,0,Radial Velocity,2005,W. M. Keck Observatory,1.93778000000,0.0208066500,2.51000000,0.22400000,6.83000000,0.02100000,Mass,0.207000,,,M2.5V,3293.74,0.300000,0.320000,0.2129,[Fe/H],4.871770,343.3239737,-14.2665958,4.67517000,8.8753000
344,GJ 876 e,GJ 876,1,4,0,Radial Velocity,2010,W. M. Keck Observatory,124.26000000000,0.3343000000,3.92000000,0.35000000,14.60000000,0.04600000,Mass,0.055000,,,M2.5V,3293.74,0.300000,0.320000,0.2129,[Fe/H],4.871770,343.3239737,-14.2665958,4.67517000,8.8753000
345,GJ 887 b,GJ 887,1,4,0,Radial Velocity,2020,La Silla Observatory,9.26190000000,0.0683000000,1.80000000,0.16100000,3.90000000,0.01227077,Msini,0.140000,7.8000,426.00,M1 V,3688.00,0.468000,0.495000,-0.0600,[Fe/H],4.156000,346.5027573,-35.8473489,3.28679000,6.5219900
346,GJ 887 c,GJ 887,1,4,0,Radial Velocity,2020,La Silla Observatory,21.78400000000,0.1210000000,2.43000000,0.21700000,6.50000000,0.02045129,Msini,0.170000,2.5000,320.00,M1 V,3688.00,0.468000,0.495000,-0.0600,[Fe/H],4.156000,346.5027573,-35.8473489,3.28679000,6.5219900
347,GJ 887 d,GJ 887,1,4,0,Radial Velocity,2026,Multiple Observatories,50.77000000000,0.2120000000,2.34000000,0.20900000,6.10000000,0.01919275,Msini,,0.8100,241.00,M1 V,3688.00,0.468000,0.495000,-0.0600,[Fe/H],4.156000,346.5027573,-35.8473489,3.28679000,6.5219900
